developer_id,top_companies_faang,top_company_tier_1,top_company_tier_1_names,top_company_tier_1_2yoe,top_company_tier_2,top_company_tier_2_names,top_company_tier_2_2yoe,top_university_us,top_university_us_names,top_university_whole_list,top_university_whole_list_names
5328530,0,0,,0,0,,0,0,,0,
4655762,0,0,,0,0,,0,0,,0,
5819035,0,0,,0,0,,0,0,,0,
6522949,0,0,,0,0,,0,0,,0,
5536311,0,0,,0,0,,0,0,,0,
6519448,0,0,,0,0,,0,0,,0,
5383261,0,0,,0,0,,0,0,,0,
6442860,0,0,,0,0,,0,0,,0,
4153431,0,1,GitHub;Figma;MongoDB;Twilio;X (Twitter),0,0,,0,0,,0,
1951614,0,0,,0,0,,0,0,,0,
1418646,0,0,,0,0,,0,0,,0,
6056163,0,0,,0,0,,0,0,,0,
4046976,0,0,,0,0,,0,0,,0,
6604816,1,1,Snap Inc.;Meta (Facebook),1,0,,0,0,,0,
3142411,0,0,,0,0,,0,0,,0,
2494591,1,1,Apple;ServiceNow,0,0,,0,0,,0,
5085049,0,0,,0,0,,0,0,,0,
2175792,0,0,,0,0,,0,0,,0,
2870552,0,0,,0,0,,0,0,,0,
3115891,0,0,,0,0,,0,0,,0,
4136901,0,0,,0,0,,0,0,,0,
1682059,0,0,,0,0,,0,0,,0,
6582604,0,0,,0,0,,0,0,,0,
4289241,0,0,,0,0,,0,0,,0,
5533669,0,1,Uber,1,0,,0,0,,0,
6585409,0,0,,0,0,,0,0,,0,
6603654,0,0,,0,0,,0,0,,0,
1095437,0,0,,0,0,,0,0,,0,
4625080,0,0,,0,0,,0,0,,0,
1746692,0,0,,0,0,,0,0,,0,
5030287,0,0,,0,0,,0,0,,0,
6584213,0,0,,0,0,,0,0,,0,
4104981,0,0,,0,0,,0,0,,0,
6607680,0,0,,0,0,,0,0,,0,
4781268,0,0,,0,0,,0,0,,0,
1284041,0,0,,0,0,,0,0,,0,
6585400,0,0,,0,0,,0,0,,0,
3270409,0,0,,0,0,,0,0,,0,
3604662,0,0,,0,0,,0,0,,0,
6531654,0,0,,0,0,,0,0,,0,
4276336,0,0,,0,0,,0,0,,0,
4660641,0,0,,0,0,,0,0,,0,
